ID,Title,Text,Status,Type,Priority,Verification Method,Parent ID
REQ-001,Sensor status display,"The system shall display sensor status within 2 seconds of receiving a valid telemetry packet.",Approved,Functional,High,Test,
REQ-002,Authentication failure logging,"The system shall log all failed authentication attempts within 2 seconds with timestamp, user identifier, and source IP address.",Approved,Security,High,Test,
REQ-003,Communication loss alert,"The system shall quickly alert the operator when communication is lost.",Draft,Functional,High,Test,
REQ-004,Sensor status refresh duplicate,"The system shall display sensor status within 2 seconds after receiving a valid telemetry packet.",Approved,Functional,Medium,Test,
REQ-005,Audit retention,"The system shall retain authentication audit records for at least 365 days after creation.",Approved,Security,Medium,Test,
REQ-006,Fault summary export,"The system shall export a fault summary file within 1 minute after the operator requests it.",Approved,Reporting,Medium,Test,
REQ-007,Malformed packet rejection,"The system shall reject malformed telemetry packets and display an error message within 1 second.",Approved,Functional,High,Test,
REQ-008,Degraded mode banner,"The system shall display a degraded mode banner within 3 seconds when telemetry quality falls below 80 percent.",Approved,Functional,High,Test,
REQ-009,Local configuration encryption,"The system shall encrypt local configuration files before writing them to disk.",Approved,Security,High,Inspection,
REQ-010,Retry count display,"The system shall display the connection retry count within 5 seconds after a retry attempt.",Approved,Functional,Medium,Test,
REQ-011,Operator preference storage,"The system shall store operator display preference changes within 1 second when the user changes layout.",Approved,Functional,Low,Test,
REQ-012,Settings audit event,"The system shall create an audit entry within 2 seconds when an operator changes telemetry settings.",Approved,Audit,Medium,Test,
REQ-013,Inactive session lock,"The system shall lock the local session after 15 minutes of operator inactivity.",Approved,Security,High,Test,
REQ-014,Telemetry packet processing,"The system shall process telemetry packets within 2 seconds.",Changed,Performance,High,Test,
REQ-015,Duplicate packet discard,"The system shall discard duplicate telemetry packets received within 10 seconds of the original packet.",Approved,Functional,Medium,Test,
REQ-016,Stale data label,"The system shall label sensor data as stale within 30 seconds after the last valid telemetry packet.",Approved,Functional,Medium,Test,
REQ-017,Dropped packet retry,"The system shall retry dropped telemetry packets up to 3 times within 20 seconds.",Approved,Functional,Medium,Test,
REQ-018,Authentication failure display,"The system shall display the source IP address on the authentication failure review screen.",Approved,Security,Medium,Test,
REQ-019,Review export generation,"The system shall generate a review export in HTML format within 60 seconds for projects under 100 requirements.",Approved,Reporting,High,Test,
REQ-020,Report appendix IDs,"The system shall include all imported requirement IDs in the report appendix when the report is generated.",Approved,Reporting,Medium,Inspection,
REQ-021,CSV quoted comma import,"The system shall import CSV fields from a source file containing quoted commas without splitting the field value.",Approved,Import,Medium,Test,
REQ-022,Blank requirement ID warning,"The system shall reject blank requirement identifiers and display an import warning within 2 seconds.",Approved,Import,High,Test,
REQ-023,Raw Jira field preservation,"The system shall preserve unmapped Jira CSV fields as raw attributes when importing each work item.",Approved,Import,Medium,Test,
REQ-024,JUnit skipped test import,"The system shall classify skipped JUnit test cases as skipped within the imported test evidence.",Approved,Import,Medium,Test,
REQ-025,Import warning display,"The system shall display import warnings within 2 seconds after an upload completes.",Approved,Import,Medium,Test,
REQ-026,Report audit event,"The system shall record a local audit event when a report is generated.",Approved,Audit,Low,Test,
REQ-027,Matrix sorting,"The system shall sort the traceability matrix by requirement identifier when the report is generated.",Approved,Reporting,Low,Test,
REQ-028,Local SQLite export,"The system shall export the local project database within 30 seconds when the operator requests a backup.",Approved,Storage,Medium,Test,
REQ-029,ReqIF parent hierarchy,"The system shall preserve parent requirement hierarchy from ReqIF imports when parent references are present.",Approved,Import,Medium,Test,
REQ-030,Weak wording phrase display,"The system shall display the weak wording phrase that triggered each weak requirement finding.",Approved,Analysis,Medium,Test,
REQ-031,Duplicate requirement candidate detection,"The system shall identify duplicate requirement candidates when normalized text similarity is above the configured threshold.",Approved,Analysis,Medium,Test,
REQ-032,Errored test import,"The system shall record JUnit error elements as errored test evidence when importing CI test results.",Approved,Import,Medium,Test,
REQ-033,Requirement ID normalization,"The system shall normalize requirement identifiers with underscores when parsing test names and issue text.",Approved,Import,Medium,Test,
REQ-034,Offline report assets,"The system shall generate HTML report files without external scripts, fonts, images, or style resources when the report is created.",Approved,Reporting,High,Inspection,
REQ-035,Local ruleset persistence,"The system shall save ruleset changes to local project storage within 2 seconds.",Approved,Configuration,Medium,Test,
REQ-036,Closed work verification list,"The system shall list closed work items that lack passing verification evidence when report analysis runs.",Approved,Analysis,High,Test,
REQ-037,Stale link review,"The system shall flag possible stale trace links when a changed requirement is linked to closed work.",Approved,Analysis,Medium,Test,
REQ-038,Report source filenames,"The system shall include imported source filenames in the report cover section when the report file is generated.",Approved,Reporting,Low,Inspection,
REQ-039,CLI local execution,"The CLI shall run an analysis within 30 seconds without requiring account credentials or network access.",Approved,CLI,High,Test,
REQ-040,ReqIFZ archive import,"The system shall import ReqIFZ archives under 10 MB without crashing.",Approved,Import,Medium,Test,
REQ-041,Project cleanup marker,"The system shall mark a local project inactive within 5 seconds when the operator removes it from the project list.",Approved,Storage,Low,Test,
REQ-043,Baseline change summary,"The system shall include added, deleted, and changed requirement counts when the baseline diff report is generated.",Approved,Reporting,Medium,Test,
